run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	experiment_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
SRR5946767	PRJNA398089	SAMN07521564	SRX3105026	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	6581993	1215325169	SUB2966903	Illumina HiSeq 2000 sequencing: HSMA33PZ stool WGS	318501382;315660219	a13417ffde58d8378c19aa709941f13d;87f3ed87bb245b0f81cf9a0a796e1925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5946767/SRR5946767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5946767/SRR5946767_2.fastq.gz	H4043C12
SRR5935765	PRJNA398089	SAMN07509549	SRX3095860	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	10590116	1935908855	SUB2954905	Illumina HiSeq 2000 sequencing: HSM6XRQB stool WGS	515376280;506779081	07643b37714a1c5ce21f1d2e2eb88b3c;1b1b4732bc89ca17dc6c5b66d5fbfbe2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935765/SRR5935765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935765/SRR5935765_2.fastq.gz	H4017C1
SRR5946772	PRJNA398089	SAMN07521933	SRX3105017	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	5558753	1041410907	SUB2966903	Illumina HiSeq 2000 sequencing: HSM7J4QD stool WGS	279415498;283110557	bcb32afe5851f960dc0c3519b9cd530c;6f1450044c1634f8a7b31a29d5204d61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5946772/SRR5946772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5946772/SRR5946772_2.fastq.gz	M2041C18
SRR6180576	PRJNA398089	SAMN07793740	SRX3291249	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	1570996	248217368		Illumina HiSeq 2000 sequencing: Stool sample C3001C20 MVX	96836325;95892047	c470dca0de9b6f2049a881c0ec6e4bd7;8407ff0c1ef2db28303d8d0024197b50	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/006/SRR6180576/SRR6180576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/006/SRR6180576/SRR6180576_2.fastq.gz	C3001C20_MVX
SRR5935766	PRJNA398089	SAMN07509550	SRX3095863	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	14120624	2649393059	SUB2954905	Illumina HiSeq 2000 sequencing: MSM5LLER stool WGS	685865385;690500813	89e9119fc936f6d3a0d9bce18cf8e71e;bf407237218479e029130909391508ea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935766/SRR5935766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935766/SRR5935766_2.fastq.gz	M2021C11
SRR5946777	PRJNA398089	SAMN07521937	SRX3105013	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	14940538	2794187374	SUB2966903	Illumina HiSeq 2000 sequencing: CSM79HRE stool WGS	749550140;752465152	273f9b6747056144eae7a03046221e96;351d980299bdd16ae1ad7f3bd57761b7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5946777/SRR5946777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5946777/SRR5946777_2.fastq.gz	M2048C11
SRR5935768	PRJNA398089	SAMN07509547	SRX3095858	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	15746753	2888337209	SUB2954905	Illumina HiSeq 2000 sequencing: HSM5MD5B stool WGS	760134776;751390894	90c11f2d3f8beac39061b081f57fd27d;65c5c3169c7b65980c969c3253a6c4c9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935768/SRR5935768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935768/SRR5935768_2.fastq.gz	H4008C4
SRR5946786	PRJNA398089	SAMN07521841	SRX3105004	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	20575054	3772580687	SUB2966903	Illumina HiSeq 2000 sequencing: MSM79HF3 stool WGS	1032114855;1029476596	a13ec83770d231e789bcc44a7d4909fd;40cc81aac28e48b4e0f7b5ab9ddae7e7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5946786/SRR5946786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5946786/SRR5946786_2.fastq.gz	C3008C19
SRR6180580	PRJNA398089	SAMN07793737	SRX3291248	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	18195	2874810		Illumina HiSeq 2000 sequencing: Stool sample H4009C13 MVX	1293711;1318948	f43e44ebbd7974789a70fa630c17aa94;c0cf59b7d4c9a988d652af76dba30f58	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/000/SRR6180580/SRR6180580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/000/SRR6180580/SRR6180580_2.fastq.gz	H4009C13_MVX
SRR5935773	PRJNA398089	SAMN07510001	SRX3095852	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	20671571	3786101975	SUB2954905	Illumina HiSeq 2000 sequencing: MSM9VZMA stool WGS	1035961519;1034506302	ff411c5c7abefb369ebf169bd4ebe77f;bbcf0ed223557ddb121e7c10d7f37e13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935773/SRR5935773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935773/SRR5935773_2.fastq.gz	M2077C2
SRR5946792	PRJNA398089	SAMN07521835	SRX3104998	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	16559287	2978230027	SUB2966903	Illumina HiSeq 2000 sequencing: CSM79HQV stool WGS	817055796;817454493	71c7f2581c7aa10b11c77b1a8d91afb7;080dd7770b944e1f08d3a2eb10626f64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5946792/SRR5946792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5946792/SRR5946792_2.fastq.gz	H4020C12
SRR5935774	PRJNA398089	SAMN07510002	SRX3095855	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	12252617	2212674525	SUB2954905	Illumina HiSeq 2000 sequencing: MSM9VZNH stool WGS	561110160;568699022	43837b76452f8c80e936c7baf29500ac;ac1c5a73e45830eff69e56428704ced1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935774/SRR5935774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935774/SRR5935774_2.fastq.gz	M2047C20
SRR5946794	PRJNA398089	SAMN07521833	SRX3104996	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	7920291	1435354887	SUB2966903	Illumina HiSeq 2000 sequencing: HSM6XRTS stool WGS	399368374;393662956	b2dd4c4a6093b6e60cdf7aefba3b53f6;7a3c51287f6e6b7889412ea9b7ff88e4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5946794/SRR5946794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5946794/SRR5946794_2.fastq.gz	C3010C17
SRR5935775	PRJNA398089	SAMN07509998	SRX3095851	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	13010149	2394732661	SUB2954905	Illumina HiSeq 2000 sequencing: PSM7J18Q stool WGS	614890196;614806057	72d4133ada25deb7c6b545336fdd523e;ada8860368598603dd5e3ae2b19aa5f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935775/SRR5935775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935775/SRR5935775_2.fastq.gz	P6012C18
SRR6180582	PRJNA398089	SAMN07793742	SRX3291243	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	4113399	649917042		Illumina HiSeq 2000 sequencing: Stool sample M2008C22 MVX	297404653;299362422	de68741170e6fff781da56065048cf18;7ae98952a0f86c6888b6777c4586a0d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/002/SRR6180582/SRR6180582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/002/SRR6180582/SRR6180582_2.fastq.gz	M2008C22_MVX
SRR5946797	PRJNA398089	SAMN07521928	SRX3105380	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	1946862	372314076	SUB2966903	Illumina HiSeq 2000 sequencing: PSM7J1AS stool WGS	123370687;126551625	11f09871cb7b476548ef10f212aa3fa4;86cfa77fabd83dfc7318b5bac8ca0040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5946797/SRR5946797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5946797/SRR5946797_2.fastq.gz	P6024C4
SRR5935777	PRJNA398089	SAMN07509996	SRX3095849	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	8173049	1459565869	SUB2954905	Illumina HiSeq 2000 sequencing: MSM9VZF1 stool WGS	399147758;402570015	cf02a6edab08fd3d707f99e476240016;eb972e35b7c503044542008fd0246ca2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935777/SRR5935777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935777/SRR5935777_2.fastq.gz	M2069C11
SRR5935780	PRJNA398089	SAMN07509616	SRX3095845	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	10716528	1994960359	SUB2954905	Illumina HiSeq 2000 sequencing: CSM67UA2 stool WGS	517023791;515931366	f242a1b489c3bd49fdb4ad0137a07ff6;f302bc7d3f48a9fd6c994ada362c9d4b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935780/SRR5935780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935780/SRR5935780_2.fastq.gz	C3001C15
SRR6180584	PRJNA398089	SAMN07794012	SRX3291241	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	167041	26392478		Illumina HiSeq 2000 sequencing: Stool sample C3017C21 MVX	11458739;11335736	b410aa497684e8c8183b1d85326f66be;6c93003f6da19abed51519b8e95a59b8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/004/SRR6180584/SRR6180584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/004/SRR6180584/SRR6180584_2.fastq.gz	C3017C21_MVX
SRR5935781	PRJNA398089	SAMN07509923	SRX3095844	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	8486948	1613121343	SUB2954905	Illumina HiSeq 2000 sequencing: PSM7J16U stool WGS	414422688;422208221	5955994864b215d063fd6a1faf4d64d8;d920473daf6f44c5f7c5e42c351be9a0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935781/SRR5935781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935781/SRR5935781_2.fastq.gz	P6017C9
SRR5946801	PRJNA398089	SAMN07521923	SRX3105375	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	7302245	1380997635	SUB2966903	Illumina HiSeq 2000 sequencing: PSM7J19T stool WGS	369125548;361610525	25526bba7a3f272d4ec4dd5321327853;d6515c7a55728900ca7b299194703fb2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5946801/SRR5946801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5946801/SRR5946801_2.fastq.gz	C3028C8
SRR5935783	PRJNA398089	SAMN07509922	SRX3095843	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	2565282	465562992	SUB2954905	Illumina HiSeq 2000 sequencing: HSM7J4HS stool WGS	121552290;122217283	554e11e9a708abb5262534c150b27f49;1a9a17a16012a8b463c94f90cbafe407	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935783/SRR5935783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935783/SRR5935783_2.fastq.gz	H4035C5
SRR5935784	PRJNA398089	SAMN07509626	SRX3095842	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	14800056	2772790740	SUB2954905	Illumina HiSeq 2000 sequencing: MSM6J2JR stool WGS	708620656;713263985	475d7cae958e47ec1c9a32767d809664;3ed6ebaf3bdb787b2d47b58859a3bb8d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935784/SRR5935784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935784/SRR5935784_2.fastq.gz	M2041C4
SRR6180586	PRJNA398089	SAMN07794007	SRX3291238	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	615931	97317098		Illumina HiSeq 2000 sequencing: Stool sample H4020C20 MVX	35668638;34643948	3c18479898a99c322874400b79ed11d7;bbab2043a5edd47dd4b3654f5469c66d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/006/SRR6180586/SRR6180586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/006/SRR6180586/SRR6180586_2.fastq.gz	H4020C20_MVX
